"Occupation.Class","Sex","Age.Class","Education","Marital.Status","Income.Group","Need.help.making.financial.decisions","Do.not.like.to.be.in.debt.at.anytime","Feel.satistifed.when.I.get.a.really.good.deal","Like.to.buy.products.with.prestigious.brand.names","Always.try.to.buy.things.on.sale","Once.find.brand.that.satistifies..don.t.experiment","Confident.will.have.enough.money.to.retire","Have.life.insurance"
"White Collar","Female","20-29","Some high school","Single","Medium high","Disagree Slightly","Disagree Slightly","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","No"
"","Male","13-19","Primary or less","Single","High","Disagree Slightly","Disagree Slightly","Neither Agree nor Disagree","Disagree Slightly","Disagree Slightly","Disagree Slightly","Disagree Slightly","No"
"Blue Collar","Male","30-39","Some high school","Married","Medium low","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Yes"
"Blue Collar","Female","40-49","Some high school","Married","High","Disagree Slightly","Agree Slightly","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Disagree Slightly","No"
"White Collar","Female","20-29","Some high school","Married","High","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Disagree Strongly","Neither Agree nor Disagree","Yes"
"","Female","60+","Primary or less","Widowed","High","Disagree Slightly","Disagree Strongly","Neither Agree nor Disagree","Disagree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","No"
"White Collar","Female","20-29","Some high school","Married","High","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree Slightly","Yes"
"Executives/Professionals","Male","40-49","Some high school","Married","High","Neither Agree nor Disagree","Agree Slightly","Disagree Slightly","Neither Agree nor Disagree","Disagree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","No"
"Executives/Professionals","Male","30-39","Some high school","Married","High","Agree Strongly","Agree Strongly","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Agree Slightly","Yes"
"White Collar","Female","20-29","Some high school","Single","High","Disagree Slightly","Agree Slightly","Neither Agree nor Disagree","Disagree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Yes"
"Executives/Professionals","Male","30-39","Primary or less","Married","High","Agree Slightly","Neither Agree nor Disagree","Disagree Slightly","Neither Agree nor Disagree","Disagree Slightly","Disagree Slightly","Disagree Slightly","No"
"Blue Collar","Male","20-29","Primary or less","Single","High","Agree Slightly","Neither Agree nor Disagree","Disagree Slightly","Agree Slightly","Disagree Slightly","Disagree Slightly","Disagree Slightly","No"
"White Collar","Male","40-49","Some high school","Married","High","Disagree Strongly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","No"
"","Male","13-19","College","Single","High","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree Slightly","Agree Slightly","Disagree Slightly","Agree Slightly","Agree Slightly","No"
"Blue Collar","Male","50-59","Primary or less","Married","High","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Agree Strongly","Yes"
"","Female","60+","Primary or less","Widowed","High","Agree Slightly","Agree Strongly","Agree Strongly","Disagree Strongly","Agree Slightly","Neither Agree nor Disagree","Agree Strongly","No"
"","Female","40-49","Primary or less","Married","Medium high","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","No"
"White Collar","Female","30-39","Some high school","Married","High","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Yes"
"Executives/Professionals","Male","20-29","College","Single","High","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","No"
"Executives/Professionals","Female","50-59","Primary or less","Married","High","Neither Agree nor Disagree","Agree Strongly","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","No"
"White Collar","Female","20-29","Some high school","Married","High","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Strongly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Yes"
"","Female","20-29","College","Married","Medium high","Agree Slightly","Agree Strongly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Yes"
"","Female","50-59","Primary or less","Married","High","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","Disagree Slightly","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","No"
"","Male","40-49","Some high school","Married","High","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Yes"
"","Female","13-19","Primary or less","Single","High","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","No"
"","Male","60+","Primary or less","Married","Medium high","Disagree Slightly","Disagree Slightly","Neither Agree nor Disagree","Disagree Slightly","Disagree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","No"
"Blue Collar","Male","40-49","Some high school","Married","High","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","Agree Strongly","Neither Agree nor Disagree","No"
"Blue Collar","Male","30-39","Primary or less","Married","Medium high","Agree Slightly","Agree Strongly","Neither Agree nor Disagree","Disagree Slightly","Agree Slightly","Agree Slightly","Disagree Slightly","No"
"","Male","13-19","Some high school","Single","Medium high","Agree Slightly","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","No"
"White Collar","Female","30-39","Some high school","Married","High","Disagree Slightly","Disagree Slightly","Neither Agree nor Disagree","Disagree Slightly","Disagree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","No"
"White Collar","Female","13-19","Some high school","Single","High","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Agree Strongly","Agree Slightly","Agree Slightly","No"
"White Collar","Male","40-49","Some high school","Married","High","Agree Slightly","Agree Slightly","Agree Slightly","Agree Strongly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","No"
"","Male","50-59","Some high school","Married","Medium high","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","No"
"","Female","60+","Primary or less","Married","High","Agree Slightly","Agree Strongly","Agree Slightly","Agree Slightly","Agree Strongly","Neither Agree nor Disagree","Agree Strongly","No"
"Blue Collar","Female","30-39","Some high school","Married","Medium high","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Disagree Strongly","Neither Agree nor Disagree","Disagree Slightly","Neither Agree nor Disagree","Yes"
"","Female","30-39","Primary or less","Married","Medium high","Disagree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","No"
"White Collar","Male","60+","Some high school","Married","High","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Yes"
"Blue Collar","Male","40-49","Primary or less","Married","Medium high","Agree Slightly","Agree Strongly","Agree Slightly","Disagree Slightly","Agree Strongly","Agree Slightly","Disagree Strongly","No"
"Blue Collar","Male","40-49","Primary or less","Married","Medium low","Disagree Strongly","Agree Strongly","Disagree Slightly","Disagree Strongly","Neither Agree nor Disagree","Agree Slightly","Disagree Slightly","Yes"
"White Collar","Male","20-29","College","Single","High","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","Agree Strongly","Agree Slightly","Agree Slightly","Agree Strongly","Yes"
"","Female","50-59","Primary or less","Married","Medium high","Agree Strongly","Agree Slightly","Agree Strongly","Disagree Strongly","Agree Strongly","Agree Slightly","Disagree Slightly","No"
"","Female","20-29","Primary or less","Married","Medium high","Neither Agree nor Disagree","Disagree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","No"
"","Male","13-19","Some high school","Single","Medium high","Neither Agree nor Disagree","Agree Strongly","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Agree Strongly","Yes"
"White Collar","Male","20-29","College","Married","High","Neither Agree nor Disagree","Agree Strongly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Disagree Slightly","No"
"Blue Collar","Male","30-39","Some high school","Married","Medium low","Disagree Slightly","Agree Strongly","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","No"
"Executives/Professionals","Male","40-49","Primary or less","Married","High","Neither Agree nor Disagree","Disagree Slightly","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree Slightly","Disagree Slightly","No"
"Blue Collar","Male","40-49","Some high school","Married","High","Agree Strongly","Agree Strongly","Agree Strongly","Agree Slightly","Disagree Slightly","Agree Strongly","Agree Strongly","Yes"
"Blue Collar","Female","30-39","Some high school","Married","Medium high","Disagree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Disagree Slightly","Neither Agree nor Disagree","Agree Slightly","Yes"
"","Male","50-59","College","Married","Medium high","Disagree Slightly","Agree Strongly","Agree Slightly","Agree Strongly","Disagree Strongly","Agree Strongly","Agree Strongly","Yes"
"White Collar","Female","30-39","College","Married","Medium high","Agree Slightly","Agree Slightly","Agree Slightly","Disagree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","No"
"White Collar","Female","20-29","Some high school","Single","High","Agree Strongly","Agree Strongly","Agree Strongly","Agree Strongly","Agree Slightly","Agree Strongly","Agree Strongly","No"
"Blue Collar","Female","40-49","Primary or less","Married","Medium high","Neither Agree nor Disagree","Agree Slightly","Disagree Strongly","Agree Strongly","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree Slightly","Yes"
"Blue Collar","Male","13-19","Some high school","Single","High","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Strongly","No"
"","Male","40-49","Primary or less","Married","High","Agree Strongly","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","Agree Slightly","Agree Strongly","Yes"
"","Female","40-49","Primary or less","Married","Medium low","Agree Strongly","Agree Strongly","Agree Strongly","Disagree Slightly","Agree Strongly","Agree Strongly","Agree Strongly","No"
"White Collar","Male","30-39","Some high school","Married","High","Neither Agree nor Disagree","Agree Strongly","Agree Slightly","Disagree Slightly","Agree Strongly","Neither Agree nor Disagree","Agree Slightly","No"
"","Female","50-59","Primary or less","Married","Medium low","Agree Slightly","Agree Strongly","Agree Slightly","Agree Strongly","Agree Strongly","Agree Slightly","Agree Strongly","No"
"","Female","40-49","Some high school","Married","Medium low","Disagree Slightly","Agree Strongly","Agree Slightly","Disagree Slightly","Agree Slightly","Neither Agree nor Disagree","Agree Slightly","No"
"Executives/Professionals","Male","50-59","College","Married","High","Disagree Strongly","Disagree Slightly","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree Slightly","Disagree Slightly","No"
"","Female","13-19","Some high school","Single","Medium low","Agree Slightly","Agree Slightly","Disagree Slightly","Disagree Strongly","Neither Agree nor Disagree","Agree Slightly","Agree Strongly","No"
"White Collar","Female","20-29","Some high school","Married","High","Disagree Slightly","Disagree Slightly","Disagree Slightly","Disagree Strongly","Neither Agree nor Disagree","Agree Slightly","Disagree Strongly","No"
"","Male","13-19","College","Single","Medium low","Disagree Slightly","Agree Slightly","Agree Strongly","Disagree Strongly","Agree Strongly","Agree Strongly","Neither Agree nor Disagree","No"
"","Female","60+","Primary or less","Widowed","Medium low","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree Slightly","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","No"
